"x","y","species","presence"
-51.750139402,-29.250139132,"myrcia_aethusa",1
-51.250139404,-29.250139132,"myrcia_aethusa",1
-50.750139406,-29.250139132,"myrcia_aethusa",1
-50.250139408,-29.250139132,"myrcia_aethusa",1
-49.75013941,-29.250139132,"myrcia_aethusa",1
-49.250139412,-29.250139132,"myrcia_aethusa",1
-53.250139396,-29.75013913,"myrcia_aethusa",1
-50.250139408,-29.75013913,"myrcia_aethusa",1
-49.75013941,-29.75013913,"myrcia_aethusa",1
-56.250139384,-30.750139126,"myrcia_aethusa",1
-75.250139308,20.749860668,"myrcia_albescens",1
-74.75013931,20.749860668,"myrcia_albescens",1
-75.250139308,20.24986067,"myrcia_albescens",1
-74.75013931,20.24986067,"myrcia_albescens",1
-62.750139358,10.749860708,"myrcia_albidotomentosa",1
-68.750139334,10.24986071,"myrcia_albidotomentosa",1
-68.250139336,10.24986071,"myrcia_albidotomentosa",1
-67.750139338,10.24986071,"myrcia_albidotomentosa",1
-67.25013934,10.24986071,"myrcia_albidotomentosa",1
-66.750139342,10.24986071,"myrcia_albidotomentosa",1
-66.250139344,10.24986071,"myrcia_albidotomentosa",1
-64.250139352,10.24986071,"myrcia_albidotomentosa",1
-63.750139354,10.24986071,"myrcia_albidotomentosa",1
-63.250139356,10.24986071,"myrcia_albidotomentosa",1
-70.250139328,9.749860712,"myrcia_albidotomentosa",1
-69.75013933,9.749860712,"myrcia_albidotomentosa",1
-69.250139332,9.749860712,"myrcia_albidotomentosa",1
-67.750139338,9.749860712,"myrcia_albidotomentosa",1
-67.25013934,9.749860712,"myrcia_albidotomentosa",1
-66.750139342,9.749860712,"myrcia_albidotomentosa",1
-66.250139344,9.749860712,"myrcia_albidotomentosa",1
-64.250139352,9.749860712,"myrcia_albidotomentosa",1
-70.750139326,9.249860714,"myrcia_albidotomentosa",1
-70.250139328,9.249860714,"myrcia_albidotomentosa",1
-69.75013933,9.249860714,"myrcia_albidotomentosa",1
-71.250139324,8.749860716,"myrcia_albidotomentosa",1
-70.750139326,8.749860716,"myrcia_albidotomentosa",1
-70.250139328,8.749860716,"myrcia_albidotomentosa",1
-71.750139322,8.249860718,"myrcia_albidotomentosa",1
-71.250139324,8.249860718,"myrcia_albidotomentosa",1
-70.750139326,8.249860718,"myrcia_albidotomentosa",1
-62.25013936,8.249860718,"myrcia_albidotomentosa",1
-61.750139362,8.249860718,"myrcia_albidotomentosa",1
-71.750139322,7.74986072,"myrcia_albidotomentosa",1
-71.250139324,7.74986072,"myrcia_albidotomentosa",1
-61.750139362,7.74986072,"myrcia_albidotomentosa",1
-61.250139364,7.74986072,"myrcia_albidotomentosa",1
-65.250139348,7.249860722,"myrcia_albidotomentosa",1
-72.750139318,6.749860724,"myrcia_albidotomentosa",1
-66.250139344,6.749860724,"myrcia_albidotomentosa",1
-65.750139346,6.749860724,"myrcia_albidotomentosa",1
-65.250139348,6.749860724,"myrcia_albidotomentosa",1
-62.750139358,6.749860724,"myrcia_albidotomentosa",1
-62.25013936,6.749860724,"myrcia_albidotomentosa",1
-61.250139364,6.749860724,"myrcia_albidotomentosa",1
-60.750139366,6.749860724,"myrcia_albidotomentosa",1
-72.750139318,6.249860726,"myrcia_albidotomentosa",1
-72.25013932,6.249860726,"myrcia_albidotomentosa",1
-66.750139342,6.249860726,"myrcia_albidotomentosa",1
-66.250139344,6.249860726,"myrcia_albidotomentosa",1
-65.750139346,6.249860726,"myrcia_albidotomentosa",1
-65.250139348,6.249860726,"myrcia_albidotomentosa",1
-63.750139354,6.249860726,"myrcia_albidotomentosa",1
-63.250139356,6.249860726,"myrcia_albidotomentosa",1
-62.750139358,6.249860726,"myrcia_albidotomentosa",1
-62.25013936,6.249860726,"myrcia_albidotomentosa",1
-61.750139362,6.249860726,"myrcia_albidotomentosa",1
-61.250139364,6.249860726,"myrcia_albidotomentosa",1
-60.750139366,6.249860726,"myrcia_albidotomentosa",1
-60.250139368,6.249860726,"myrcia_albidotomentosa",1
-67.25013934,5.749860728,"myrcia_albidotomentosa",1
-66.750139342,5.749860728,"myrcia_albidotomentosa",1
-66.250139344,5.749860728,"myrcia_albidotomentosa",1
-65.750139346,5.749860728,"myrcia_albidotomentosa",1
-65.250139348,5.749860728,"myrcia_albidotomentosa",1
-64.75013935,5.749860728,"myrcia_albidotomentosa",1
-64.250139352,5.749860728,"myrcia_albidotomentosa",1
-63.750139354,5.749860728,"myrcia_albidotomentosa",1
-63.250139356,5.749860728,"myrcia_albidotomentosa",1
-62.750139358,5.749860728,"myrcia_albidotomentosa",1
-62.25013936,5.749860728,"myrcia_albidotomentosa",1
-61.750139362,5.749860728,"myrcia_albidotomentosa",1
-61.250139364,5.749860728,"myrcia_albidotomentosa",1
-60.750139366,5.749860728,"myrcia_albidotomentosa",1
-60.250139368,5.749860728,"myrcia_albidotomentosa",1
-59.75013937,5.749860728,"myrcia_albidotomentosa",1
-73.750139314,5.24986073,"myrcia_albidotomentosa",1
-73.250139316,5.24986073,"myrcia_albidotomentosa",1
