"","name_searched","taxonomic_status","nomenclatural_status","name_accepted","phy_names","str_order","phy_new_names"
"52","Myrcia sp12","not found",NA,NA,"myrcia_sp12",52,"myrcia_sp12"
"53","Marlierea clausseniana","Synonym","Available","Myrcia multipunctata","marlierea_clausseniana",53,"myrcia_multipunctata"
"54","Myrcia multipunctata","Accepted","Available","Myrcia multipunctata","myrcia_multipunctata",54,"myrcia_multipunctata"
"55","Marlierea subacuminata","Homotypic_Synonym","Available","Myrcia subacuminata","marlierea_aff_subacuminata",55,"myrcia_subacuminata"
"56","Marlierea eugeniopsoides","Homotypic_Synonym","Available","Myrcia eugeniopsoides","marlierea_eugeniopsoides",56,"myrcia_eugeniopsoides"
"57","Myrcia ferruginosa","Accepted","Available","Myrcia ferruginosa","myrcia_ferruginosa",57,"myrcia_ferruginosa"
"58","Marlierea teuscheriana","Homotypic_Synonym","Available","Myrcia teuscheriana","marlierea_teuscheriana",58,"myrcia_teuscheriana"
"59","Myrcia sp13","not found",NA,NA,"myrcia_sp13",59,"myrcia_sp13"
"60","Myrcia tenuivenosa","Accepted","Available","Myrcia tenuivenosa","myrcia_tenuivenosa",60,"myrcia_tenuivenosa"
"61","Myrcia hatschbachii","Accepted","Available","Myrcia hatschbachii","myrcia_hatschbachii",61,"myrcia_hatschbachii"
"62","Myrcia oblongata","Accepted","Available","Myrcia oblongata","myrcia_oblongata",62,"myrcia_oblongata"
"63","Myrcia laruotteana","Synonym","Available","Myrcia selloi","myrcia_laruotteana",63,"myrcia_selloi"
"64","Myrcia tomentosa","Accepted","Available","Myrcia tomentosa","myrcia_tomentosa",64,"myrcia_tomentosa"
"65","Myrcia selloi","Accepted","Available","Myrcia selloi","myrcia_selloi",65,"myrcia_selloi"
"66","Myrcia sp","not found",NA,NA,"myrcia_sp",66,"myrcia_sp"
"67","Myrcia maximiliana","Accepted","Available","Myrcia maximiliana","myrcia_maximiliana",67,"myrcia_maximiliana"
"68","Myrcia pulvinata","Accepted","Available","Myrcia pulvinata","myrcia_pulvinata",68,"myrcia_pulvinata"
"69","Myrcia robusta","Accepted","Available","Myrcia robusta","myrcia_robusta",69,"myrcia_robusta"
"70","Calyptranthes thomasiana","Homotypic_Synonym","Available","Myrcia neothomasiana","calyptranthes_thomasiana",70,"myrcia_neothomasiana"
"71","Calyptranthes garciae","Homotypic_Synonym","Available","Myrcia garciae","calyptranthes_garciae",71,"myrcia_garciae"
"72","Calyptranthes eriocephala","Homotypic_Synonym","Available","Myrcia eriocephala","calyptranthes_eriocephala",72,"myrcia_eriocephala"
"73","Mitranthes claredonensis","not found",NA,"Myrcia clarendonensis","mitranthes_claredonensis",73,"myrcia_clarendonensis"
"74","Mitranthes glabra","Homotypic_Synonym","Available","Myrcia psilophylla","mitranthes_glabra",74,"myrcia_psilophylla"
"75","Calyptranthes longicalyptrata","Homotypic_Synonym","Available","Myrcia longicalyptrata","calyptranthes_longicalyptrata",75,"myrcia_longicalyptrata"
"76","Calyptranthes barkeri","Homotypic_Synonym","Available","Myrcia barkeri","calyptranthes_barkeri",76,"myrcia_barkeri"
"77","Calyptranthes laevigata","Homotypic_Synonym","Available","Myrcia neolaevigata","calyptranthes_laevigata",77,"myrcia_neolaevigata"
"78","Calyptranthes pallens","Synonym","Available","Calyptranthes williamsii","calyptranthes_pallens",78,"calyptranthes_williamsii"
"79","Calyptranthes sintenisii","Homotypic_Synonym","Available","Myrcia neosintenisii","calyptranthes_sintenisii",79,"myrcia_neosintenisii"
